A,B
150에서는 불필요한 분할이 줄어들고 사물의 경계가 명확해지는 것을 확인하였다.,150에서 불필요한 분할이 적어지며 객체의 경계가 명확해지는 것을 확인하였다.
다른 응용 프로그램에서는 다중 초점 추적 빔을 사용할 수 있습니다.,"다른 응용예들에서, 다중 포커스 추적 빔들이 사용될 수 있다."
디지털 판독을 위한 시그마 델타 변환 이제 VPTAT 대 VBGR의 비율을 측정하여 온도를 결정할 수 있습니다.,디지털 판독을 위한 시그마델타 변환 이제 우리는 VBGR에 대한 VPTAT의 비율을 취하여 온도를 결정할 수 있다.
"전술한 바와 같이, 본 발명에서는 알칼리 개발 또는 유기 용매와의 개발을 적용할 수 있다.","이와 같이, 본 발명에서는, 알칼리 현상 또는 유기 용제에 의한 현상을 적용할 수 있다."
"언어 표현의 문제, 이해도, 설문지 작성에 필요한 시간 등을 조사하기 위해 간호사를 대상으로 시범 설문조사를 실시했다.","간호사를 대상으로 한 시범 조사를 통해 언어 표현 문제, 이해도, 설문지 작성에 소요되는 시간 등을 조사하였다."
이번 연구결과는 미국의 두 기술을 정면 비교한 또 다른 연구에서 확인됐다.,이 연구결과는 미국에서 두 가지 기술을 정면으로 비교한 또 다른 연구에서 확인되었다.
입력 장치는 또한 커버 요소의 하부와 지문 센서의 적어도 일부 주위에 위치하는 가요성 층을 포함할 수 있다.,"입력 디바이스는 커버 요소 아래에, 그리고 지문 센서의 적어도 일부분 주위에 위치된 유연성 층을 또한 포함할 수 있다."
"또, 비교를 위해 성형된 중력주조 시료를 동일한 금형을 이용하여 주조하였으며, 이는 도 2에 나타내었다.","또한 비교를 위해 금형 중력주조 시편을 동일 금형을 이용하여 주조하였으며, 이를 Fig. 2에 나타내었다."
제한 동작 간격(Tlim)에서 출력 단자(OUT)의 전압은 바닥 레벨(Vbtm)을 가질 수 있다.,"제한 동작 구간(Tlim)에서, 출력 단자(OUT)의 전압은 바닥 크기(Vbtm)를 가질 수 있다."
"상기 화학식 2-10에서, Z2가 직접 연결인 경우, Si를 포함하는 고리는 5원환(펜타곤)이 된다.","화학식 2-10에서, Z2가 직접 결합인 경우, Si를 포함하는 고리는 5원환(오각형)이 된다."
"물리치료 방법 중 마사지의 총 지속시간은 평균 12.7일, 1회 개입 시간은 13.3분, 1주일에 개입하는 횟수는 3.8회로 나타났다.","신체적 처치 적용법 중 마사지의 총 중재기간 평균은 12.7일, 1회 중재 시간은 13.3분이었으며, 주당 중재빈도는 3.8회이었다."
우리는 또한 1차 PTMC와 전이 림프절에 존재하는 암 사이의 돌연변이 프로파일의 가능한 차이를 조사했다.,우리는 또한 원발성 PTMC와 전이성 림프절에 존재하는 암 사이의 돌연변이 프로파일의 가능한 차이를 조사했다.
수신 회로 220은 입력 데이터를 수신하는 데이터 수신 회로일 수 있다.,상기 수신 회로(220)는 상기 입력 데이터를 수신하는 데이터 수신 회로일 수 있다.
"상기 실시예 1, 2 및 비교예 1, 2에서 제조된 전극의 구성은 다음과 같다.","상기 실시예 1, 2 와 비교예 1, 2에서 제조된 전극의 구성은 하기와 같다."
"지난 5년 동안, 사업에 대한 인력 양성은 전적으로 사업지원단에 맡겨져 왔다.",지난 5년간 사업인력의 교육은 전적으로 사업지원단에게 맡겨져 왔다.
열팽창부는 제1 엔드 탱크와 제3 엔드 탱크 사이에서 상대적인 이동이 가능하도록 구성된다.,열 팽창부는 제 1 단부 탱크와 제 3 단부 탱크 사이에서 상대적인 이동을 허용하도록 구성된다.
도 7에는 본 발명의 제1 실시예의 제3 변형예와 관련된 IDT의 구성을 나타낸 모식도가 도시되어 있다.,도 7은 본 발명의 제 1 실시 형태의 제 3 변형례에 관련된 IDT의 구성을 나타낸 모식도이다.
"윈드실드에 발열 기능을 부여하기 위해서는 광투과율이 높아야 하며, 빛의 간섭이나 이미지 왜곡이 없어야 한다.","자동차 앞유리에 발열 기능을 부여하기 위해서는 광투과율이 높아야 하며, 빛의 간섭이나 상의 왜곡이 없어야 한다."
버퍼층 102는 절연층 109와 차광 부재 170의 하부에 배치될 수 있다.,절연층(109) 및 차광 부재(170) 하부에는 버퍼층(102)이 배치될 수 있다.
제1 간격의 개시 시점은 동작을 개시하는 시점과 일치할 수 있다.,상기 제1 구간의 개시 시점은 상기 동작을 개시하는 시점에 대응될 수 있다.
몇몇 연구는 내장 마이크로바이옴이 비만의 발달을 조절한다는 것을 보여준다.,몇몇 연구는 내장 마이크로바이옴이 비만 발달을 통제한다는 것을 보여준다.
특히 자동차 업계에서 애플로 불리는 테슬라를 필두로 전기차 확산이 빠르게 확산되고 있다.,"특히, 자동차업계의 애플이라 불리는 테슬라를 필두로 하여 전기자동차의 보급이 급격하게 확산되고 있다."
"디스플레이 어셈블리 10은 한 쌍의 방전 유닛 2, 3 각각보다 크기가 작을 수 있다.",디스플레이 어셈블리(10)는 한 쌍의 토출유닛(2)(3) 각각 보다 크기가 작을 수 있다.
이 경우 옵션 필드가 4바이트의 배수가 아닌 경우 패딩에 0이 삽입되어 4바이트의 배수가 됩니다.,이를 위해 OPTION 필드가 4바이트의 배수가 되지 않으면 4바이트의 배수가 되도록 PADDING에 0을 넣는다.
"상기 하부 게이트 접촉 플러그(252)는 금속, 금속 합금 및 실리사이드 중 적어도 하나를 포함할 수 있다.","상기 하부 게이트 콘택 플러그(252)는 금속, 금속 합금, 및 실리사이드 중에서 적어도 하나를 포함할 수 있다."
"하나 이상의 실시예에 따르면, 상기 지지 플레이트는 공기 흐름의 반대 방향으로 흐르는 열전달 유체로 채워진다.","하나 이상의 실시예에 따르면, 지지판은 공기 흐름의 반대 방향으로 흐르는 열전달 유체로 충전된다."
도 10을 참조하여 본 발명의 또 다른 실시예에 따른 서버 100의 제어 방법에 대해 상세히 설명하기로 한다.,"도 10을 참조하여 본 발명의 또 다른 실시 예에 따른, 서버(100)의 제어 방법을 구체적으로 설명한다."
"호흡기 증상 없이 심각한 저칼륨혈증, 대사성 알칼리증, 고혈압 등을 보이는 69세 남성의 원래 종양 조직에서 EAS로 인한 쿠싱증후군 SCLC 사례를 보고한다.","69세 남자 환자가 호흡기 증상 없이 심한 저칼륨혈증, 대사성 알칼리증 및 고혈압을 주소로 내원한 69세 남자 환자에서 원래 종양 조직의 EAS로 인한 쿠싱 증후군을 동반한 SCLC 1예를 보고한다."
피부 노화는 물론 만성질환과 성인병을 예방할 수 있는 기능성 식품과 화장품에 대한 관심이 높아지고 있다.,"만성질환, 성인병뿐만 아니라 피부 노화 등을 예방할 수 있는 기능성 식품 및 화장품에 대한 관심이 증가하고 있다."
고강도 항레트로바이러스 요법이 개발되면서 유럽과 영국에서 에이즈(AIDS)와 HIV로 인한 기회성 감염의 진단이 줄어들고 있다.,고강도 항 레트로 바이러스 요법의 개발로 유럽 및 영국에서 AIDS 진단 및 HIV로 인한 기회 감염이 감소되고 있다.
에탐부톨은 MDR-TB를 치료하기 위해 선택될 수 있지만 MDR-TB 치료법을 구성하는 효과적인 약물로 간주되어서는 안 된다.,"에탐부톨은 다제내성결핵 치료를 위해 선택될 수 있지만, 다제내성결핵 치료 요법을 구성하는 효과적인 약물에 포함되어서는 안 된다."
"이 경우, 제1면 410에는 콘텐츠의 일시 정지 화면이 출력될 수 있다.","이 경우, 콘텐츠의 정지 화면이 제 1 면(410)에 출력될 수도 있다."
"전지가 충전되면 잔존용량의 증가에 따라 전압이 상승하고, 방전시에는 전압이 감소한다.",전지는 충전하면 잔존용량 증가와 함께 전압이 상승하고 방전 시에는 반대로 전압이 감소하는 특성을 갖는다.
"예상대로 전국적인 신장 생검 등록소는 각 기관의 진단을 코딩하여 질병 빈도를 보다 신뢰할 수 있는 분석, 보다 합리적인 임상병리학적 상관관계 등 많은 유익한 효과가 있었다.","예상한 바와 같이, 전국적인 신장 조직검사 등록부는 각 기관의 진단을 코딩하여 질병 빈도를 보다 신뢰할 수 있는 분석과 보다 합리적인 임상병리학적 상관관계를 포함하는 많은 유익한 효과를 가지고 있었다."
단면 세그먼트의 측면(z축 방향에 평행한 평면)의 형상은 3D 모델의 형상에 따라 달라질 수 있다.,단면 세그먼트들의 옆면(z축 방향에 평행한 면)의 모양은 3차원 모델의 형상에 따라 달라질 수 있다.
"카필 데브 잠왈, 라키 마이월, 사게레 무랄리크리슈나 샤스트리, 안쿠르 진달, 아쇼크 추더리, 러브케시 아난드, 바르제시 찬더 샤르마가 프로토콜과 원고를 검토하고 입력 정보를 제공했다.","카필 데브 잠월, 라키 마이월, 세이게르 벽리크리슈나 샤스트리, 안쿠르 진달, 아쇼크 초드하리, 로브케시 아난드, 바르제시 샹더 샤르마 등이 복습하고 의전과 원고에 입력을 제공했다."
"조직학적 검사 결과 진피에서 경미한 무균성 표피과형성, 혈관주변 림프조직구성 염증세포 침투가 관찰됐다.",조직학적 검사에서 진피에 경미한 극세포성 표피 증식과 혈관주위 림프조직구 염증세포 침윤이 관찰되었다.
기존 치료에서 ECMO로 전환한 35명의 환자 중 15명이 살아남았다.,기존 요법에서 ECMO를 구하기 위해 전환한 35명의 환자 중 15명이 생존했다.
투명막 220은 투명 캐리어 210과 결합하여 밀폐된 내부 공간을 형성할 수 있다.,투명 멤브레인(220)은 투명 캐리어(210)와의 결합으로 밀폐된 내부 공간을 형성할 수 있다.
도 2는 사용자 이미지를 이용하여 얼굴 특징 정보 및 부가 정보를 검출하는 방법을 설명하기 위한 도면이다.,도 2는 사용자 이미지를 이용하여 얼굴 특징 정보 및 부가 정보를 검출하는 방법을 설명하기 위한 도면이다.
"최근에는 슬림 필름에 대한 연구가 전자제품의 소형화 및 집적화 방향에 집중되어 강유전체 압전, 열전 등 우수한 특성을 이용하기 위한 노력이 이루어지고 있다.",최근에 전자기기의 소형화와 집적화 방향으로 박막 연구의 초점이 모아지고 있으며 강유전체의 압전성 및 초전성 등의 뛰어난 특성을 이용하는 데 노력하고 있다.
참가자들은 사람들이 휠체어를 탄다면 양보할 것이라고 기대했습니다.,참여자들은 휠체어를 타고 나가면 당연히 사람들이 양보를 해 줄 것을 기대했다.
"고지혈증 증후군은 다양한 장기 개입을 보일 수 있지만, 방광, 식도, 십이지장에 대한 동시 침입은 매우 드물다.","과호산구 증가 증후군에서 다양한 장기 침범을 보일 수 있지만 방광과 식도, 십이지장의 동시 침범은 매우 드물다."
상기 무기 입자는 비정질상을 가질 수 있다.,상기 무기 입자는 비정질 상(amorphous phase)일 수 있다.
우리는 이러한 단면 연구의 품질이 메타 분석의 품질에 영향을 미치지 않을 것이라고 결론지었다.,우리는 이러한 횡단연구의 품질이 메타 분석의 품질에 영향을 미치지 않을 것이라고 결론지었다.
"이러한 방식으로 작동함으로써, 태양 난방 시스템 200은 최소한의 연료 소비로 최고의 효율을 가질 수 있다.","이와 같이 동작함에 따라, 태양열 난방 시스템(200)은 최소한의 연료소모로 최고의 효율을 가질 수 있다."
마르코프 모델은 의료 시스템과 사회적 관점에서 IT-Tx 그룹과 IA-Tx 그룹 사이의 추정 비용과 품질 조정 수명을 비교하기 위해 설계되었다.,의료 시스템과 사회적 관점에서 IT-Tx 그룹과 IA-Tx 그룹 간의 예상 비용과 품질 조정 수명을 비교하기 위해 마르코프 모델을 설계했다.
따라서 본 연구는 신장 크기가 IgAN 환자의 신장 기능 저하율에 영향을 미치는지 여부를 조사하는 것을 목표로 하였다.,"따라서, 본 연구는 IgAN 환자에서 신장 크기가 신장 기능 저하율에 영향을 미치는지 알아보고자 하였다."
2016년 ICT 산업 종사자의 주당 평균 근로시간은 43.8시간으로 전체 산업 대비 다소 높은 수준이다.,2016년 ICT 산업 인력의 주당 평균근로시간은 43.8시간으로 전 산업 대비 소폭 높은 수준이다.
실제 검사에서 오른쪽 손목과 엉덩이 근육의 힘은 G4+로 측정되었다.,신체 진찰상 우측 손목 및 고관절 근력이 G4 +로 측정되었다.
맥주 제조 장치 1000은 수신된 성분 정보를 바탕으로 맥주 제조 정보를 생성할 수 있다(S131).,맥주 제조장치(1000)는 수신된 재료 정보에 기초하여 맥주 제조 정보를 생성할 수 있다(S131).
그러나 다변량 분석 결과 치료 양상과 치료 후 2개월 이내에 혈청 AFP 수치가 감소하는 것이 생존과 관련된 유일한 독립적 요인임이 밝혀졌다.,"그러나 다변량 분석 결과, 치료 후 2개월 이내에 치료 양식과 혈청 AFP 수준의 감소가 생존과 관련된 유일한 독립적 요인인 것으로 나타났다."
제1 보호막층 470 및 제2 보호막층 480은 각각 제2 광학막층 460의 양면에 위치한다.,제2 광학 필름층(460)의 양면에는 각각 제1 보호 필름층(470) 및 제2 보호 필름층(480)이 위치한다.
"우리가 아는 한, 한국 영양학 문헌에서 식품 문맹률을 직접적으로 조사하는 연구는 없었다.","우리가 아는 한, 한국 영양 과학 문헌에서 식량 이해력을 직접 조사하는 연구는 없다."
"식도 수술의 이유로는 식도암, 위장기질종양, 식도게실 등이 꼽혔다.","식도 수술의 이유로는 식도암, 위장성 뇌종양, 식도 게실 등이 있다."
도 2의 저장부 230은 템플릿 231 및 코드 정보 232를 저장할 수 있다.,도 2의 저장부(230)는 템플릿(template)(231)과 코드 정보(232)를 저장할 수 있다.
기준치에서는 대한민국 농촌지역 내 65세 이상 지역사회 주민을 대상으로 치매 및 우울증 증상에 대한 검진을 실시하고 3년 후 동일한 검진전지를 사용하여 추적하였다.,기준으로는 한국의 시골지역 65세 이상 지역사회 거주자가 치매 및 우울증 증상에 대해 검진을 받고 3년 후 동일한 검진 배터리를 사용하는 것을 추적했다.
"이상에서 설명한 바와 같이, 본 발명의 일 실시예에 따르면, 센서의 상태에 따라 데이터 목록 저장의 목록이 결정될 수 있다.","상술한 바와 같이, 본 발명의 일실시예에 따르면, 센서의 상태에 따라 데이터 리스트 저장소의 리스트가 결정될 수 있다."
